AACO100396,0000000
AACO100398,0000000
AACO100413,0000000
AACO100416,0000000
AACO100417,0000000
AACO100420,0000000
AACO100423,0000000
AACO100740,0000000
AACO101228,0000005
AACO101265,0000017
AACO101698,0000000
AACO101997,0000000
AACO102007,0000000
AACO102011,0000000
AACO102014,0000000
AACO102148,0000000
AACO102262,0000000
AACO102283,0000000
AACO102306,0000000
AACO102311,0000000
AACO102320,0000000
AACO102753,0000000
AACO102756,0000000
AACO102780,0000000
AACO102869,0000000
AACO103242,0000000
AACO103243,0000000
AACO103247,0000000
AACO103249,0000000
AACO103250,0000000
AACO103251,0000005
AACO103252,0000000
AACO103254,0000000
AACO103289,0000000
AACO103291,0000000
AACO103556,0000001
AACO103572,0000000
AACO103573,0000000
AACO103574,0000000
AACO103576,0000005
AACO103649,0000000
AACO103665,0000000
AACO103667,0000000
AACO104032,0000000
AACO104033,0000000
AACO104034,0000000
AACO104035,0000000
AACO104082,0000000
AALMATCHDOT,0000014
AALMATCHDOT2,0000004
AALUD100LTB,0000007
AALUDHDMICRO,0000005
AALULDT0000B,0000012
AALULDT0000S,0000014
AALULDT0304B,0000007
AALULDT0304S,0000000
AALULTRADOT6,0000000
AC45G2,0000000
AC45G2C,0000001
AC45G2DT,0000001
AC9G2B,0000001
AC9G2C,0000009
ACA45C,0000000
ACC001,0000010
ACC008,0000065
ACC014,0000055
ACC017C,0000054
ACC027C,0000011
ACC029C,0000032
ACC030C,0000025
ACC039C,0000047
ACC046C,0000016
ACC334CS,0000050
ACC336C,0000215
ACC45B,0000000
ACC45DT,0000000
ACC703C,0000082
ACC9B,0000000
ACC9C,0000003
ACCC45B,0000000
ACT45C,0000007
ADM68,0000001
ADM68C,0000000
ADM68H,0000006
ADM68L,0000000
ADMAD-T1-10,0000087
ADMAD22,0000002
ADMADIM,0000009
ADMADRMR,0000022
ADMADRMR-CO,0000015
ADMADRMR-RH,0000000
ADMB2BASE,0000003
ADMB3BASE,0000036
ADMBP,0000066
ADMDELTA30,0000020
ADMDELTA30FDE,0000010
